,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
2142,010D010152,2309 SW CANDY LN,10/29/20,2020,10,2020-10,232009,2020,1792,129.469308,33.6899882,-84.0726399,13247060201,North Rockdale,POINT (-84.0726399 33.6899882)
2152,010D010133,2407 SW FITTS DR,10/28/20,2020,10,2020-10,230745,2020,1792,128.7639509,33.6905837,-84.072351,13247060201,North Rockdale,POINT (-84.072351 33.6905837)
2154,010D010149,2315 SW CANDY LN,10/27/20,2020,10,2020-10,229067,2020,1792,127.827567,33.689862,-84.0724931,13247060201,North Rockdale,POINT (-84.0724931 33.689862)
2163,010D010135,2411 SW FITTS DR,10/26/20,2020,10,2020-10,230440,2020,1824,126.3377193,33.6905012,-84.0722169,13247060201,North Rockdale,POINT (-84.0722169 33.6905012)
2164,010D010129,2422 SW FITTS DR,10/23/20,2020,10,2020-10,234069,2020,1824,128.3273026,33.6905712,-84.0715739,13247060201,North Rockdale,POINT (-84.0715739 33.6905712)
2170,010D010126,2416 SW FITTS DR,10/23/20,2020,10,2020-10,227837,2020,1792,127.141183,33.69061,-84.0717629,13247060201,North Rockdale,POINT (-84.0717629 33.69061)
2178,010D010121,2406 SW FITTS DR,10/22/20,2020,10,2020-10,229709,2020,1792,128.1858259,33.690832,-84.0720828,13247060201,North Rockdale,POINT (-84.0720828 33.690832)
2180,010D010118,2400 SW FITTS DR,10/22/20,2020,10,2020-10,224639,2020,1792,125.3565848,33.6909404,-84.0722994,13247060201,North Rockdale,POINT (-84.0722994 33.6909404)
2181,010D010122,2408 SW FITTS DR,10/22/20,2020,10,2020-10,221209,2020,1792,123.4425223,33.6908523,-84.0720383,13247060201,North Rockdale,POINT (-84.0720383 33.6908523)
2182,010D010125,2414 SW FITTS DR,10/21/20,2020,10,2020-10,228789,2020,1792,127.672433,33.6907005,-84.0725161,13247060201,North Rockdale,POINT (-84.0725161 33.6907005)
2193,010D010140,2502 SW CASH CT,10/16/20,2020,10,2020-10,221981,2020,1792,123.8733259,33.690196,-84.072181,13247060201,North Rockdale,POINT (-84.072181 33.690196)
2200,010D010141,2500 SW CASH CT,10/16/20,2020,10,2020-10,236963,2020,1824,129.9139254,33.690149,-84.0721343,13247060201,North Rockdale,POINT (-84.0721343 33.690149)
2214,010D010137,2508 SW CASH CT,10/15/20,2020,10,2020-10,224934,2020,1792,125.5212054,33.690284,-84.0720002,13247060201,North Rockdale,POINT (-84.0720002 33.690284)
2219,200010027,2100 NW LAKE ROCKAWAY RD,10/14/20,2020,10,2020-10,399900,2001,3966,100.8320726,33.700646,-84.0582447,13247060201,North Rockdale,POINT (-84.0582447 33.700646)
2255,010D010123,2410 SW FITTS DR,10/5/20,2020,10,2020-10,235175,2020,1824,128.9336623,33.690794,-84.0719693,13247060201,North Rockdale,POINT (-84.0719693 33.690794)
2256,010D010120,2404 SW FITTS DR,10/5/20,2020,10,2020-10,227766,2020,1792,127.1015625,33.6908785,-84.0721447,13247060201,North Rockdale,POINT (-84.0721447 33.6908785)
2272,018001001F,2956 NW UNION GROVE RD,10/1/20,2020,10,2020-10,70000,1984,1128,62.05673759,33.7222884,-84.0576667,13247060201,North Rockdale,POINT (-84.0576667 33.7222884)
2273,010D010165,2114 SW WATTS LN,10/1/20,2020,10,2020-10,236994,2020,1792,132.2511161,33.6904144,-84.0740079,13247060201,North Rockdale,POINT (-84.0740079 33.6904144)
2278,010D010128,2420 SW FITTS DR,9/30/20,2020,9,2020-9,229877,2020,1792,128.2795759,33.6905491,-84.0716288,13247060201,North Rockdale,POINT (-84.0716288 33.6905491)
2281,010D010167,2110 SW WATTS LN,9/30/20,2020,9,2020-9,239795,2020,1792,133.8141741,33.6904144,-84.0740079,13247060201,North Rockdale,POINT (-84.0740079 33.6904144)
2285,038A010038,1905 NW PACES LANDING CIR,9/30/20,2020,9,2020-9,203000,1981,1858,109.2572659,33.7115344,-84.0489349,13247060201,North Rockdale,POINT (-84.0489349 33.7115344)
